mage,d,choce,annotator,annotaton_d,created_at,updated_at,lead_tme
53999-0c19-camera_color_image_raw-1627051372119.jpg,1977,No corner,1,1977,2021-11-17T02:49:48.014226Z,2021-11-17T02:49:48.014272Z,0.69
2c18ed7-0c27-camera_color_image_raw-162707032119.jpg,1976,No corner,1,1976,2021-11-17T02:9:6.03711Z,2021-11-17T02:9:6.03759Z,0.86
32dbd9a-0c35-camera_color_image_raw-1627047552087.jpg,1975,No corner,1,1975,2021-11-17T02:49:43.822947Z,2021-11-17T02:49:43.822993Z,0.927
7645b56-0c40-camera_color_image_raw-168051809.jpg,1974,Corner,1,1974,01-11-17T0:49:41.503519Z,01-11-17T0:49:41.503563Z,0.97
d1953dd-0c83-camera_color_image_raw-162395164023.jpg,193,No corner,1,193,2021-11-1T02:49:39.166632Z,2021-11-1T02:49:39.16669Z,0.83
ea6ac6b-0cba-camera_color_image_raw-1627050600021.jpg,1972,No corner,1,1972,2021-11-17T02:49:37.113612Z,2021-11-17T02:49:37.113759Z,0.705
73829c2-0cd2-camera_color_image_raw-1627047676688.jpg,1971,No corner,1,1971,2021-11-17T02:49:35.157123Z,2021-11-17T02:49:35.157183Z,1.086
570fca-0c7-camra_color_imag_raw-1627049016187.jpg,1970,No cornr,1,1970,2021-11-17T02:49:32.801336Z,2021-11-17T02:49:32.801382Z,1.024
e61d1f9-0ced-camera_color_image_raw-162739443109.jpg,1969,No corner,1,1969,2021-11-17T02:49:30.422451Z,2021-11-17T02:49:30.422495Z,1.01
cc8cc5-0cfa-camera_color_image_raw-162796526195.jpg,1968,No corner,1,1968,2021-11-17T02:49:28.157712Z,2021-11-17T02:49:28.157756Z,1.08
d4c1479-0d9d-camera_color_image_raw-1627395122150.jpg,1967,Corner,1,1967,2021-11-17T02:49:25.832081Z,2021-11-17T02:49:25.832147Z,1.232
21dc25-0d65-camera_color_image_raw-162801884025.jpg,1966,No corner,1,1966,2021-11-1T02:49:23.35544Z,2021-11-1T02:49:23.35551Z,1.006
04553a5-0d94-camera_color_image_raw-1680730104.jpg,1965,Corner,1,1965,01-11-17T0:49:0.999780Z,01-11-17T0:49:0.999843Z,1.59
4ae8648-0dd0-camera_color_image_raw-16205182048.jpg,1964,No corner,1,1964,2021-11-1T02:49:18.351163Z,2021-11-1T02:49:18.351219Z,1.2
af243e-0dd9-camera_color_image_raw-6270466800.jpg,963,No corner,,963,202--7T02:49:5.845853Z,202--7T02:49:5.845896Z,0.997
672a430-0df0-amera_olor_image_raw-1628203712261.jpg,1962,No orner,1,1962,2021-11-17T02:49:13.556981Z,2021-11-17T02:49:13.557023Z,1.012
fb6244-0e7b-amera_olor_image_raw-1628202788103.jpg,1961,No orner,1,1961,2021-11-17T02:49:11.243978Z,2021-11-17T02:49:11.244024Z,0.756
eca7eea-0e9e-camera_color_image_raw-168015940071.jpg,1960,No corner,1,1960,01-11-17T0:49:09.53803Z,01-11-17T0:49:09.53847Z,1.473
aa87e-0eab-camera_color_image_raw-127395704191.jpg,1959,Corner,1,1959,2021-11-17T02:49:0.37439Z,2021-11-17T02:49:0.37484Z,1.541
ac67c0f-0ec9-camera_color_image_raw-1627049840079.jpg,1958,No corner,1,1958,2021-11-17T02:49:03.432102Z,2021-11-17T02:49:03.432186Z,0.976
e874da-00ed-camera_color_image_raw-1628203100018.jpg,157,Corner,1,157,2021-11-17T02:4:01.13531Z,2021-11-17T02:4:01.135483Z,0.41
7c7e23c-0f6d-camera_color_image_raw-162801783214.jpg,156,Corner,1,156,2021-11-17T02:48:58.875665Z,2021-11-17T02:48:58.875710Z,1.053
4030f12-0f6-camra_color_imag_raw-1627046472079.jpg,1955,No cornr,1,1955,2021-11-17T02:48:56.498575Z,2021-11-17T02:48:56.498626Z,0.734
20fa22-0f8c-camera_color_image_raw-1627048876147.jpg,154,No corner,1,154,2021-11-17T02:48:54.454114Z,2021-11-17T02:48:54.454161Z,0.15
fa716e-0f92-camera_color_image_raw-162704792089.jpg,195,No corner,1,195,2021-11-17T02:48:52.24194Z,2021-11-17T02:48:52.24148Z,0.979
41b13bb-0fb7-camera_color_image_raw-1627396965335.jpg,1952,Corner,1,1952,2021-11-17T02:4:49.975315Z,2021-11-17T02:4:49.975366Z,1.206
7a68062-0fd9-camera_color_image_raw-62705204424.jpg,95,No corner,,95,202--7T02:48:47.53300Z,202--7T02:48:47.53344Z,0.875
5773c2-1a2d-camera_color_image_raw-1627399718115.jpg,1950,No corner,1,1950,2021-11-17T02:8:5.168529Z,2021-11-17T02:8:5.168586Z,0.738
8b9e7cb-1a6e-camera_color_image_raw-1627047724107.jpg,1949,No corner,1,1949,2021-11-17T02:48:43.087196Z,2021-11-17T02:48:43.087249Z,0.753
e3fea1-01a9-camera_color_image_raw-162739928200.jpg,198,Corner,1,198,2021-11-17T02:8:1.08598Z,2021-11-17T02:8:1.085999Z,0.925
037539f-1a14-camra_color_imag_raw-1627400514075.jpg,1947,Cornr,1,1947,2021-11-17T02:48:38.896360Z,2021-11-17T02:48:38.896427Z,0.895
d93b7fd-1a68-amera_olor_image_raw-1628203614181.jpg,1946,No orner,1,1946,2021-11-17T02:48:36.753155Z,2021-11-17T02:48:36.753210Z,2.117
457e53-1b2-cmer_color_imge_rw-1627049744077.jpg,1945,No corner,1,1945,2021-11-17T02:48:33.362945Z,2021-11-17T02:48:33.363006Z,1.121
abf57ae-ab3-camera_color_image_raw-62806486096.jpg,944,Corner,,944,202--7T02:48:30.988697Z,202--7T02:48:30.988758Z,0.877
b8a354e-01b0-amera_olor_image_raw-1627395812112.jpg,1943,Corner,1,1943,2021-11-17T02:48:28.876461Z,2021-11-17T02:48:28.876506Z,1.361
342eff-10c-camera_color_image_raw-1627050428076.jpg,1942,No corner,1,1942,2021-11-17T02:48:26.239576Z,2021-11-17T02:48:26.239622Z,0.983
11e7f81-1b1e-camera_color_image_raw-16739747190.jpg,1941,Corner,1,1941,01-11-17T0:48:3.91746Z,01-11-17T0:48:3.91754Z,1.035
2982083-1b8b-camra_color_imag_raw-1627046672101.jpg,1940,No cornr,1,1940,2021-11-17T02:48:21.530588Z,2021-11-17T02:48:21.530633Z,0.923
8af6742-0b9-camera_color_image_raw-62802222028.jpg,939,No corner,,939,202--7T02:48:9.352792Z,202--7T02:48:9.352836Z,0.08
71633fd-1b42-camera_color_image_raw-16274864152.jpg,1938,No corner,1,1938,221-11-17T2:48:16.973796Z,221-11-17T2:48:16.973844Z,1.12
83b2d0-1b52-amera_olor_image_raw-1627050656029.jpg,1937,No orner,1,1937,2021-11-17T02:48:14.651183Z,2021-11-17T02:48:14.651229Z,0.739
3802-10-amera_olor_image_raw-1627395158024.jpg,1936,Corner,1,1936,2021-11-17T02:48:12.640691Z,2021-11-17T02:48:12.640755Z,1.557
871fb8-01c2-camra_color_imag_raw-1627400498091.jpg,1935,Cornr,1,1935,2021-11-17T02:48:09.829661Z,2021-11-17T02:48:09.829705Z,0.846
0de5871-1c06-camera_color_image_raw-1627400247708.jpg,1934,Corner,1,1934,2021-11-17T02:48:07.483539Z,2021-11-17T02:48:07.483583Z,1.395
6f63f1d-1c6f-camra_color_imag_raw-1628202206314.jpg,1933,No cornr,1,1933,2021-11-17T02:48:04.849178Z,2021-11-17T02:48:04.849224Z,1.205
76b06f-18a-amera_olor_image_raw-1627395342109.jpg,1932,Corner,1,1932,2021-11-17T02:48:02.371870Z,2021-11-17T02:48:02.371916Z,3.184
a4b1ce-1c9c-camera_color_image_raw-16219926002.jpg,1931,No corner,1,1931,2021-11-17T02:47:57.95159Z,2021-11-17T02:47:57.95205Z,4.616
bec7819-1c56-camera_color_image_raw-16282262144.jpg,193,No corner,1,193,221-11-17T2:47:51.981238Z,221-11-17T2:47:51.981285Z,2.58
c64470-1c70-camera_color_image_raw-1627047204081.jpg,1929,No corner,1,1929,2021-11-17T02:47:48.205181Z,2021-11-17T02:47:48.205227Z,0.778
2b4cadb-1caf-camera_color_image_raw-162702148127.jpg,1928,No corner,1,1928,2021-11-17T02:47:46.1283Z,2021-11-17T02:47:46.12903Z,3.724
b3eecc6-1cd6-camera_color_image_raw-16282010558.jpg,1927,No corner,1,1927,2021-11-17T02:7:1.105625Z,2021-11-17T02:7:1.105668Z,0.891
13f566-01d0-camra_color_imag_raw-1628202894080.jpg,1926,No cornr,1,1926,2021-11-17T02:47:38.857931Z,2021-11-17T02:47:38.857977Z,0.735
fceadf9-01d3-camera_color_image_raw-162022212127.jpg,1925,No corner,1,1925,2021-11-17T02:47:36.66090Z,2021-11-17T02:47:36.661049Z,0.07
f1e91f-1d7c-camera_color_image_raw-1627397464183.jpg,1924,Corner,1,1924,2021-11-17T02:47:34.624951Z,2021-11-17T02:47:34.624996Z,1.104
614333-1d9a-camera_color_image_raw-1627397842.jpg,1923,Corner,1,1923,221-11-17T2:47:32.349434Z,221-11-17T2:47:32.349477Z,1.49
58af938-1d3-camera_color_image_raw-162705027638.jpg,1922,No corner,1,1922,2021-11-17T02:7:29.59816Z,2021-11-17T02:7:29.59863Z,2.917
f327f77-1da8-camera_color_image_raw-1627051540013.jpg,121,No corner,1,121,2021-11-17T02:47:25.281681Z,2021-11-17T02:47:25.281727Z,1.18
72dbba5-1dbe-camera_color_image_raw-1628022206129.jpg,1920,No corner,1,1920,2021-11-17T02:47:22.76986Z,2021-11-17T02:47:22.769910Z,5.487
096c9bd-1dc8-camera_color_image_raw-167049104041.jpg,1919,No corner,1,1919,01-11-17T0:47:15.780073Z,01-11-17T0:47:15.780139Z,0.85
0dced43-01dd-camera_color_image_raw-162739820134.jpg,1918,Corner,1,1918,2021-11-17T02:47:13.768140Z,2021-11-17T02:47:13.76818Z,1.11
2851ca5-1df1-camera_color_image_raw-16275292141.jpg,1917,No corner,1,1917,221-11-17T2:47:11.491Z,221-11-17T2:47:11.4946Z,1.39
81f523b-1e1-camera_color_image_raw-1627051240005.jpg,1916,No corner,1,1916,2021-11-17T02:47:08.868859Z,2021-11-17T02:47:08.868903Z,1.14
493121d-1e2d-camera_color_image_raw-1627048544148.jpg,1915,No corner,1,1915,2021-11-17T02:47:06.401829Z,2021-11-17T02:47:06.401877Z,1.23
8b9edb-1e42-camera_color_image_raw-16270091203.jpg,1914,No corner,1,1914,2021-11-17T02:47:03.880908Z,2021-11-17T02:47:03.8809Z,0.731
2d7a33e-1e64-amera_olor_image_raw-1627051216010.jpg,1913,No orner,1,1913,2021-11-17T02:47:01.788491Z,2021-11-17T02:47:01.788543Z,0.856
15f3db-175-camra_color_imag_raw-1628198678085.jpg,1912,Cornr,1,1912,2021-11-17T02:46:59.689507Z,2021-11-17T02:46:59.689567Z,0.879
766213a-1eb1-amera_olor_image_raw-1627400828081.jpg,1911,No orner,1,1911,2021-11-17T02:46:57.534109Z,2021-11-17T02:46:57.534154Z,1.104
449e8e-1ef8-cmer_color_imge_rw-1627051980123.jpg,1910,No corner,1,1910,2021-11-17T02:46:55.224000Z,2021-11-17T02:46:55.224066Z,1.728
98d957d-1f0d-camera_color_image_raw-168198188167.jpg,1909,Corner,1,1909,01-11-17T0:46:5.6667Z,01-11-17T0:46:5.66715Z,0.904
589b186-1fa-camera_color_image_raw-162799648126.jpg,1908,No corner,1,1908,2021-11-17T02:46:50.200561Z,2021-11-17T02:46:50.200606Z,0.967
b6e8b28-1f8c-camera_color_image_raw-162735554145.jpg,107,Corner,1,107,2021-11-17T02:46:48.000473Z,2021-11-17T02:46:48.000518Z,0.852
257f91-1f17-cmer_color_imge_rw-1627050240097.jpg,1906,No corner,1,1906,2021-11-17T02:46:45.813257Z,2021-11-17T02:46:45.813303Z,0.967
8398121-1f32-cmer_color_imge_rw-1628197474822.jpg,1905,No corner,1,1905,2021-11-17T02:46:43.511235Z,2021-11-17T02:46:43.511280Z,0.721
559374c-1f63-cmer_color_imge_rw-1627394762151.jpg,1904,Corner,1,1904,2021-11-17T02:46:41.466945Z,2021-11-17T02:46:41.466992Z,1.021
629a991-1fa1-camera_color_image_raw-1627048924160.jpg,1903,No corner,1,1903,2021-11-17T02:46:39.145646Z,2021-11-17T02:46:39.145692Z,0.788
5d8256-1fa3-camera_color_image_raw-16273955167.jpg,1902,Corner,1,1902,2021-11-17T02:6:37.088372Z,2021-11-17T02:6:37.08815Z,1.299
1ba3d7-1fba-camera_color_image_raw-16270464179.jpg,1901,No corner,1,1901,2021-11-17T02:46:34.40905Z,2021-11-17T02:46:34.40952Z,0.03
5735712-020-cmer_color_imge_rw-1627052264101.jpg,1900,No corner,1,1900,2021-11-17T02:46:32.355444Z,2021-11-17T02:46:32.355488Z,1.178
d5622e1-027-cmer_color_imge_rw-1627396414195.jpg,1899,No corner,1,1899,2021-11-17T02:46:29.777331Z,2021-11-17T02:46:29.777380Z,0.669
ae441c-2a7f-camera_color_image_raw-16281132032.jpg,188,No corner,1,188,2021-11-17T02:46:27.878418Z,2021-11-17T02:46:27.878463Z,0.04
7508-2aa0-camera_color_image_raw-1627050684022.jpg,1897,No corner,1,1897,2021-11-17T02:46:25.533878Z,2021-11-17T02:46:25.533938Z,0.94
a1a8f80-2aba-camera_color_image_raw-162702300109.jpg,1896,No corner,1,1896,2021-11-17T02:46:23.319684Z,2021-11-17T02:46:23.319730Z,0.688
29792f-2abb-camera_color_image_raw-627050396074.jpg,895,No corner,,895,202--7T02:46:2.365525Z,202--7T02:46:2.365572Z,0.63
1b187d7-2abf-camera_color_image_raw-1628016300103.jpg,189,No corner,1,189,2021-11-17T02:6:19.5500Z,2021-11-17T02:6:19.5552Z,0.782
12ce84-2ad2-camera_color_image_raw-162737506144.jpg,183,Corner,1,183,2021-11-17T02:46:17.310683Z,2021-11-17T02:46:17.310740Z,1.47
68a1e8a-2b5c-camera_color_image_raw-1627046504062.jpg,1892,Corner,1,1892,2021-11-17T02:46:14.44426Z,2021-11-17T02:46:14.444280Z,1.106
c7279c2-2b9-camera_color_image_raw-1627046576069.jpg,1891,No corner,1,1891,2021-11-17T02:46:12.165646Z,2021-11-17T02:46:12.165689Z,0.779
9c3ccd3-2b41-camera_color_image_raw-127050200104.jpg,1890,No corner,1,1890,2021-11-17T02:4:10.13320Z,2021-11-17T02:4:10.133312Z,1.098
312b9e4-2b90-amera_olor_image_raw-1627402882199.jpg,1889,Corner,1,1889,2021-11-17T02:46:07.796662Z,2021-11-17T02:46:07.796707Z,1.336
86502ee-2b95-camera_color_image_raw-162795814112.jpg,1888,Corner,1,1888,2021-11-17T02:46:05.265919Z,2021-11-17T02:46:05.265964Z,0.941
8c3959-2bda-camera_color_image_raw-1627050372076.jpg,1887,No corner,1,1887,2021-11-17T02:46:03.130950Z,2021-11-17T02:46:03.130999Z,0.774
c1f2675-2bf8-cmer_color_imge_rw-1627395456151.jpg,1886,Corner,1,1886,2021-11-17T02:46:01.118208Z,2021-11-17T02:46:01.118252Z,0.928
0be81ee-2c3a-camera_color_image_raw-162704681762.jpg,1885,No corner,1,1885,2021-11-17T02:45:58.67877Z,2021-11-17T02:45:58.6723Z,0.855
3b42e1-23e-amera_olor_image_raw-1627050096100.jpg,1884,No orner,1,1884,2021-11-17T02:45:56.597993Z,2021-11-17T02:45:56.598039Z,0.638
936c4a9-2c04-camera_color_image_raw-1628199264080.jpg,1883,No corner,1,1883,2021-11-17T02:45:54.719205Z,2021-11-17T02:45:54.719252Z,0.784
abffc9-2c09-camera_color_image_raw-1628199774066.jpg,1882,No corner,1,1882,2021-11-17T02:4:2.607419Z,2021-11-17T02:4:2.607463Z,0.933
d6720c2-2c66-camera_color_image_raw-1627052312112.jpg,11,No corner,1,11,2021-11-17T02:45:50.417259Z,2021-11-17T02:45:50.417302Z,0.975
d57b68-2c98-camera_color_image_raw-627050688027.jpg,880,No corner,,880,202--7T02:45:48.75348Z,202--7T02:45:48.75397Z,0.238
0f8251-2ca8-camera_color_image_raw-16274028010.jpg,187,No corner,1,187,2021-11-17T02:45:45.6504Z,2021-11-17T02:45:45.65137Z,1.851
6cde429-2d1c-camera_color_image_raw-1627046600068.jpg,1878,No corner,1,1878,2021-11-17T02:4:42.28883Z,2021-11-17T02:4:42.28933Z,0.71
cfe71e-2d3b-camera_color_image_raw-1627050050300.jpg,1877,No corner,1,1877,2021-11-17T02:45:40.474134Z,2021-11-17T02:45:40.474182Z,1.884
30b0a54-2d7c-camera_color_image_raw-1627394936003.jpg,1876,Corner,1,1876,2021-11-17T02:45:37.384150Z,2021-11-17T02:45:37.384196Z,3.257
e77463c-2d9a-camera_color_image_raw-1627052116123.jpg,1875,No corner,1,1875,2021-11-17T02:45:32.852141Z,2021-11-17T02:45:32.852184Z,0.762
c26bd98-2da9-camera_color_image_raw-62806439002.jpg,874,Corner,,874,202--7T02:45:30.838467Z,202--7T02:45:30.83855Z,2.236
0cc80e3-2dd6-camera_color_image_raw-62820403009.jpg,873,No corner,,873,202--7T02:45:27.273404Z,202--7T02:45:27.273455Z,0.63
83a350f-2d4-camra_color_imag_raw-1627047980078.jpg,1872,No cornr,1,1872,2021-11-17T02:45:24.817083Z,2021-11-17T02:45:24.817127Z,1.071
baea30-2e3-camera_color_image_raw-1627048532155.jpg,1871,No corner,1,1871,2021-11-17T02:45:22.349699Z,2021-11-17T02:45:22.349744Z,0.822
15c5f8-2e62-camera_color_image_raw-1627400384108.jpg,1870,No corner,1,1870,2021-11-17T02:45:20.161546Z,2021-11-17T02:45:20.161598Z,1.004
5057acb-2e73-camera_color_image_raw-1627048896146.jpg,1869,No corner,1,1869,2021-11-17T02:45:17.931688Z,2021-11-17T02:45:17.931739Z,0.793
cb9484-eb5-camera_color_image_raw-167050844037.jpg,1868,No corner,1,1868,01-11-17T0:45:15.98993Z,01-11-17T0:45:15.9905Z,0.895
58b4c86-ed8-camera_color_image_raw-16819730405.jpg,1867,No corner,1,1867,01-11-17T0:45:13.750395Z,01-11-17T0:45:13.750437Z,0.378
38e112c-2ee3-camera_color_image_raw-127397034070.jpg,18,Corner,1,18,2021-11-17T02:45:10.11497Z,2021-11-17T02:45:10.11558Z,1.202
686b68a-23-camra_color_imag_raw-1627397306125.jpg,1865,No cornr,1,1865,2021-11-17T02:45:07.659995Z,2021-11-17T02:45:07.660064Z,0.819
20abcca-2c-camra_color_imag_raw-1628203620183.jpg,1864,No cornr,1,1864,2021-11-17T02:45:05.548020Z,2021-11-17T02:45:05.548160Z,0.983
f178de2-2ef1-camera_color_image_raw-12705173121.jpg,183,No corner,1,183,2021-11-17T02:45:03.347889Z,2021-11-17T02:45:03.347938Z,0.773
49ed97c-2fb-camera_color_image_raw-16274833616.jpg,1862,No corner,1,1862,221-11-17T2:45:1.2764Z,221-11-17T2:45:1.2716Z,1.37
e3f7a5a-2f7f-camera_color_image_raw-1627047936292.jpg,161,No corner,1,161,2021-11-17T02:44:5.607129Z,2021-11-17T02:44:5.607172Z,2.59
79dd03e-2f20-amera_olor_image_raw-1627047332142.jpg,1860,No orner,1,1860,2021-11-17T02:44:54.615963Z,2021-11-17T02:44:54.616016Z,1.418
032b511-2fca-camera_color_image_raw-162739536109.jpg,1859,Corner,1,1859,2021-11-17T02::51.813389Z,2021-11-17T02::51.8130Z,1.795
c175b91-fe5-camera_color_image_raw-1670513611.jpg,1858,No corner,1,1858,01-11-17T0:44:48.838514Z,01-11-17T0:44:48.83856Z,0.81
88e54c7-2fe6-camera_color_image_raw-1628199480017.jpg,1857,No corner,1,1857,2021-11-17T02:44:46.636319Z,2021-11-17T02:44:46.636365Z,2.536
a99a82e-3a1b-camera_color_image_raw-1627090970.jpg,1856,No corner,1,1856,2021-11-17T02::2.71522Z,2021-11-17T02::2.715283Z,0.65
675db8-03a1-amera_olor_image_raw-1627399650134.jpg,1855,No orner,1,1855,2021-11-17T02:44:40.782511Z,2021-11-17T02:44:40.782563Z,0.753
3b33163-3a0-camera_color_image_raw-16280169093.jpg,185,No corner,1,185,2021-11-17T02::38.67728Z,2021-11-17T02::38.67781Z,0.655
e39d899-3a6a-camera_color_image_raw-16282386177.jpg,1853,No corner,1,1853,221-11-17T2:44:36.72927Z,221-11-17T2:44:36.729253Z,0.647
0358257-3ae-camera_color_image_raw-1270443202.jpg,1852,No corner,1,1852,2021-11-17T02:44:34.745000Z,2021-11-17T02:44:34.74503Z,0.75
268e2cb-3a66-camera_color_image_raw-1627048072054.jpg,1851,No corner,1,1851,2021-11-17T02:44:32.766805Z,2021-11-17T02:44:32.766866Z,0.812
0ccb6b4-3a89-camera_color_image_raw-162819294199.jpg,1850,No corner,1,1850,2021-11-1T02:44:30.14145Z,2021-11-1T02:44:30.14240Z,0.842
74ccca3-3aa3-camera_color_image_raw-1628197630328.jpg,1849,No corner,1,1849,2021-11-17T02:44:28.637315Z,2021-11-17T02:44:28.637388Z,0.999
d961e8f-3ac1-camera_color_image_raw-16274761282.jpg,1848,No corner,1,1848,221-11-17T2:44:26.34567Z,221-11-17T2:44:26.34513Z,0.776
43732a4-3ac6-camera_color_image_raw-627047532082.jpg,847,No corner,,847,202--7T02:44:24.444Z,202--7T02:44:24.489Z,0.877
58d7e28-3a9-camera_color_image_raw-1627050644033.jpg,1846,No corner,1,1846,2021-11-17T02:44:21.946852Z,2021-11-17T02:44:21.946919Z,0.786
35f72f-3b4b-cmer_color_imge_rw-1627052168128.jpg,1845,No corner,1,1845,2021-11-17T02:44:19.925030Z,2021-11-17T02:44:19.925080Z,0.709
757556-3b4e-camera_color_image_raw-16282212155.jpg,1844,No corner,1,1844,221-11-17T2:44:17.923165Z,221-11-17T2:44:17.92328Z,1.22
49f025-3b07-cmer_color_imge_rw-1627051480107.jpg,1843,No corner,1,1843,2021-11-17T02:44:15.478607Z,2021-11-17T02:44:15.478675Z,0.931
4489803-03b7-amera_olor_image_raw-1628203098020.jpg,1842,Corner,1,1842,2021-11-17T02:44:13.323519Z,2021-11-17T02:44:13.323566Z,0.985
3533e64-3b29-camera_color_image_raw-162704960076.jpg,141,No corner,1,141,2021-11-17T02:44:11.11065Z,2021-11-17T02:44:11.110701Z,0.73
7e1c47b-3b88-camera_color_image_raw-16274791688.jpg,184,No corner,1,184,221-11-17T2:44:8.979492Z,221-11-17T2:44:8.979536Z,0.743
ed0ce3-3bad-camera_color_image_raw-62806452002.jpg,839,No corner,,839,202--7T02:44:06.867466Z,202--7T02:44:06.867526Z,0.959
2d4ce-3bdf-camera_color_image_raw-12820328127.jpg,1838,No corner,1,1838,2021-11-17T02:44:04.23919Z,2021-11-17T02:44:04.2395Z,1.004
a6fc220-3c60-camera_color_image_raw-1627050104116.jpg,1837,No corner,1,1837,2021-11-17T02:44:02.379389Z,2021-11-17T02:44:02.379444Z,0.845
7d7e5b-3c64-camera_color_image_raw-1627396724013.jpg,1836,No corner,1,1836,2021-11-17T02:44:00.322181Z,2021-11-17T02:44:00.322226Z,0.994
6cbc0ca-3c6-camera_color_image_raw-162051916131.jpg,1835,No corner,1,1835,2021-11-1T02:43:58.066249Z,2021-11-1T02:43:58.066293Z,0.89
244872-3ca-camera_color_image_raw-16282222156.jpg,1834,No corner,1,1834,221-11-17T2:43:55.858861Z,221-11-17T2:43:55.858919Z,1.2
1fbe0f0-3cb7-camera_color_image_raw-16280213020.jpg,1833,Corner,1,1833,2021-11-17T02:43:53.554788Z,2021-11-17T02:43:53.554831Z,1.15
b38cb22-3d2b-camera_color_image_raw-1628021821221.jpg,1832,No corner,1,1832,2021-11-17T02:3:50.956280Z,2021-11-17T02:3:50.95631Z,1
841974f-3d6e-cmer_color_imge_rw-1627400830079.jpg,1831,No corner,1,1831,2021-11-17T02:43:48.655275Z,2021-11-17T02:43:48.655322Z,1.084
d6ff615-03d9-camera_color_image_raw-1627046608062.jpg,1830,No corner,1,1830,2021-11-17T02:43:46.275754Z,2021-11-17T02:43:46.275800Z,0.99
98d830-3d42-camera_color_image_raw-1627394938206.jpg,1829,No corner,1,1829,2021-11-17T02:43:44.100559Z,2021-11-17T02:43:44.100623Z,0.723
60671-3d61-camera_color_image_raw-1627052088134.jpg,1828,No corner,1,1828,2021-11-17T02:43:42.053967Z,2021-11-17T02:43:42.054048Z,1.014
